HW Flow (GPM)	HWST (°F)	HWRT (°F)	CW Flow (GPM)	CWST (°F)	CWRT (°F)	CHW Flow (GPM)	CHWRT (°F)	CHWST (°F)
1080	210	177.3	4156	85	99.0	1996	52.0	40
972	210	177.3	4156	85	97.6	1996	50.8	40
810	210	177.3	4156	85	95.5	1996	49.0	40
648	210	177.3	4156	85	93.4	1996	47.2	40
548	210	177.3	4156	85	92.0	1996	46.0	40
244	210	177.3	4156	85	88.0	1996	42.4	40
1080	210	177.3	4156	85	99.0	1996	52.0	40
1080	210	180.6	4156	85	97.6	1996	50.8	40
1080	210	185.5	4156	85	95.5	1996	49.0	40
1080	210	190.3	4156	85	93.4	1996	47.2	40
1080	210	193.4	4156	85	92.0	1996	46.0	40
1080	210	202.6	4156	85	88.0	1996	42.4	40
1080	210	177.3	4156	85	99.0	1996	52.0	40
958	210	177.3	4156	80	92.5	1996	50.8	40
787	210	177.3	4156	80	90.3	1996	49.0	40
638	210	177.3	4156	80	88.3	1996	47.2	40
532	210	177.3	4156	80	86.9	1996	46.0	40
236	210	177.3	4156	80	82.9	1996	42.4	40
1080	210	177.3	4156	85	99.0	1996	52.0	40
1080	210	181.0	4156	80	92.5	1996	50.8	40
1080	210	186.1	4156	80	90.3	1996	49.0	40
1080	210	190.6	4156	80	88.3	1996	47.2	40
1080	210	193.8	4156	80	86.9	1996	46.0	40
1080	210	202.8	4156	80	82.9	1996	42.4	40
1080	210	177.3	4156	85	99.0	1996	52.0	40
932	210	177.3	4156	75	87.3	1996	50.8	40
776	210	177.3	4156	75	85.2	1996	49.0	40
621	210	177.3	4156	75	83.2	1996	47.2	40
525	210	177.3	4156	75	81.9	1996	46.0	40
229	210	177.3	4156	75	77.9	1996	42.4	40
1080	210	177.3	4156	85	99.0	1996	52.0	40
1080	210	181.7	4156	75	87.3	1996	50.8	40
1080	210	186.5	4156	75	85.2	1996	49.0	40
1080	210	191.2	4156	75	83.2	1996	47.2	40
1080	210	194.3	4156	75	81.8	1996	46.0	40
1080	210	203.0	4156	75	77.9	1996	42.4	40
